Zm00001d048489	GO:0006457
Zm00001d048489	GO:0009506
Zm00001d050243	GO:0016702
Zm00001d002338	GO:0006048
Zm00001d002338	GO:0005829
Zm00001d002338	GO:0003977
Zm00001d019262	GO:0005634
Zm00001d019262	GO:0004175
Zm00001d019262	GO:0005839
Zm00001d019262	GO:0005737
Zm00001d019262	GO:0043161
Zm00001d019262	GO:0010499
Zm00001d019262	GO:0010498
Zm00001d010914	GO:0031146
Zm00001d010914	GO:0019005
Zm00001d010914	GO:0061630
Zm00001d045735	GO:0005634
Zm00001d045735	GO:0009909
Zm00001d051012	GO:0009908
Zm00001d051012	GO:0005886
Zm00001d051012	GO:0048509
Zm00001d051012	GO:0004672
Zm00001d051012	GO:0046777
Zm00001d051012	GO:0009506
Zm00001d049421	GO:0005618
Zm00001d053656	GO:0050832
Zm00001d028039	GO:0005783
Zm00001d028039	GO:0005794
Zm00001d028039	GO:0018230
Zm00001d028039	GO:0006612
Zm00001d028039	GO:0019706
Zm00001d011448	GO:0016279
Zm00001d011448	GO:0018026
Zm00001d011448	GO:0009570
Zm00001d033769	GO:0005886
Zm00001d016963	GO:0008686
Zm00001d016963	GO:0009231
Zm00001d016963	GO:0009507
Zm00001d028053	GO:0005762
Zm00001d028053	GO:0003735
Zm00001d011996	GO:0032040
Zm00001d011996	GO:0030515
Zm00001d011996	GO:0031428
Zm00001d042285	GO:0005634
Zm00001d042285	GO:0006468
Zm00001d042285	GO:0004693
Zm00001d018820	GO:0016491
Zm00001d018820	GO:0005737
Zm00001d040691	GO:0006468
Zm00001d040691	GO:0005886
Zm00001d040691	GO:0004675
Zm00001d044625	GO:0006511
Zm00001d044625	GO:0031146
Zm00001d044625	GO:0019005
Zm00001d044625	GO:0004842
Zm00001d038699	GO:0008171
Zm00001d038699	GO:0008757
Zm00001d038699	GO:0019438
Zm00001d038699	GO:0005829
Zm00001d046471	GO:0005634
Zm00001d025703	GO:0042626
Zm00001d025703	GO:0005886
Zm00001d025703	GO:0005887
Zm00001d031902	GO:0003713
Zm00001d031902	GO:0006357
Zm00001d031902	GO:0016592
Zm00001d031902	GO:0070847
Zm00001d021999	GO:1990904
Zm00001d021999	GO:0005829
Zm00001d021999	GO:0003729
Zm00001d012267	GO:0005634
Zm00001d012267	GO:0006511
Zm00001d012267	GO:0031625
Zm00001d012267	GO:0043130
Zm00001d026343	GO:0003735
Zm00001d026343	GO:0022625
Zm00001d017930	GO:0016554
Zm00001d017930	GO:1900871
Zm00001d017930	GO:0005739
Zm00001d017930	GO:0080156
Zm00001d032457	GO:0006468
Zm00001d032457	GO:0005886
Zm00001d032457	GO:0004675
Zm00001d001843	GO:0005737
Zm00001d001843	GO:0015035
Zm00001d001843	GO:0045454
Zm00001d001843	GO:0016671
Zm00001d001843	GO:0047134
Zm00001d018198	GO:0043565
Zm00001d018198	GO:0005634
Zm00001d025657	GO:0005739
Zm00001d025657	GO:0005759
Zm00001d025657	GO:0015038
Zm00001d025657	GO:0005515
Zm00001d050664	GO:0043565
Zm00001d050664	GO:0051726
Zm00001d050664	GO:0008134
Zm00001d050664	GO:0045944
Zm00001d050664	GO:0090575
Zm00001d050664	GO:0001227
Zm00001d050664	GO:0001228
Zm00001d050664	GO:0000981
Zm00001d050664	GO:0000122
Zm00001d050664	GO:0003700
Zm00001d050664	GO:0005634
Zm00001d050664	GO:0003677
Zm00001d019824	GO:1990904
Zm00001d019824	GO:0003723
Zm00001d019824	GO:0005634
Zm00001d019824	GO:0005737
Zm00001d019824	GO:0005829
Zm00001d019824	GO:0008266
Zm00001d019824	GO:0008143
Zm00001d019824	GO:0003730
Zm00001d012771	GO:0009507
Zm00001d039079	GO:0042803
Zm00001d039079	GO:0004450
Zm00001d039079	GO:0006102
Zm00001d039079	GO:0006739
Zm00001d017335	GO:0061631
Zm00001d010968	GO:0005739
Zm00001d043674	GO:0008270
Zm00001d043674	GO:0005829
Zm00001d043674	GO:0009972
Zm00001d043674	GO:0004126
Zm00001d018913	GO:0005829
Zm00001d044904	GO:0009451
Zm00001d031602	GO:0009507
Zm00001d031602	GO:0004849
Zm00001d031602	GO:0016301
Zm00001d047665	GO:0005886
Zm00001d047665	GO:0030244
Zm00001d047665	GO:0005794
Zm00001d047665	GO:0016759
Zm00001d047665	GO:0009833
Zm00001d047665	GO:0005802
Zm00001d036256	GO:0004620
Zm00001d029441	GO:0030599
Zm00001d029441	GO:0046910
Zm00001d044771	GO:0004222
Zm00001d044771	GO:0030198
Zm00001d044771	GO:0030574
Zm00001d002056	GO:0071163
Zm00001d002056	GO:0000281
Zm00001d002056	GO:0000076
Zm00001d002056	GO:0003677
Zm00001d002056	GO:0005634
Zm00001d002056	GO:0006260
Zm00001d002056	GO:0000278
Zm00001d002056	GO:0051315
Zm00001d002056	GO:0070182
Zm00001d002056	GO:0000776
Zm00001d039879	GO:0019898
Zm00001d039879	GO:0043161
Zm00001d039879	GO:0045721
Zm00001d039879	GO:0034657
Zm00001d039879	GO:0007039
Zm00001d039879	GO:0006623
Zm00001d009796	GO:0005737
Zm00001d009796	GO:0051087
Zm00001d009796	GO:0006457
Zm00001d009796	GO:0016272
Zm00001d009796	GO:0051131
Zm00001d006236	GO:0005634
Zm00001d006236	GO:0043565
Zm00001d006236	GO:0030154
Zm00001d006236	GO:0044212
Zm00001d030937	GO:0005737
Zm00001d011226	GO:0005743
Zm00001d011226	GO:0015228
Zm00001d011226	GO:1990559
Zm00001d011495	GO:0005634
Zm00001d011495	GO:0005829
Zm00001d011495	GO:0004722
Zm00001d011495	GO:0004724
Zm00001d001774	GO:0017148
Zm00001d001774	GO:0030015
Zm00001d001774	GO:0004535
Zm00001d001774	GO:0043928
Zm00001d001774	GO:0000932
Zm00001d008497	GO:0004823
Zm00001d008497	GO:0006429
Zm00001d008497	GO:0009507
Zm00001d008497	GO:0005739
Zm00001d008497	GO:0032543
Zm00001d018091	GO:0042450
Zm00001d018091	GO:0004585
Zm00001d018091	GO:0019240
Zm00001d037602	GO:0000398
Zm00001d037602	GO:0005685
Zm00001d037602	GO:0030619
Zm00001d037602	GO:0035614
Zm00001d041168	GO:0008422
Zm00001d053561	GO:0005739
Zm00001d029598	GO:0003677
Zm00001d029598	GO:0005669
Zm00001d029598	GO:0008134
Zm00001d029598	GO:0045944
Zm00001d029598	GO:0016251
Zm00001d013041	GO:0009060
Zm00001d013041	GO:0034551
Zm00001d013041	GO:0006122
Zm00001d013041	GO:0005750
Zm00001d013041	GO:0008121
Zm00001d052472	GO:0009507
Zm00001d052472	GO:0009098
Zm00001d052472	GO:0003852
Zm00001d029012	GO:0004672
Zm00001d029012	GO:0046777
Zm00001d029012	GO:0009506
Zm00001d029012	GO:0005886
Zm00001d047442	GO:0009507
Zm00001d047442	GO:0032502
Zm00001d047442	GO:0009658
Zm00001d002676	GO:0009982
Zm00001d002676	GO:0031119
Zm00001d053260	GO:0019898
Zm00001d053260	GO:0045053
Zm00001d053260	GO:0006623
Zm00001d031130	GO:0009451
Zm00001d013427	GO:0004794
Zm00001d013427	GO:0009097
Zm00001d013427	GO:0006567
Zm00001d013427	GO:0006566
Zm00001d044757	GO:0016020
Zm00001d044757	GO:0005737
Zm00001d044757	GO:0003924
Zm00001d044757	GO:0008017
Zm00001d044757	GO:0000266
Zm00001d038968	GO:0006508
Zm00001d038968	GO:0004190
Zm00001d038968	GO:0030163
Zm00001d017698	GO:0005887
Zm00001d017698	GO:0035673
Zm00001d044597	GO:0003723
Zm00001d044597	GO:0008033
Zm00001d044597	GO:0005655
Zm00001d044597	GO:0004526
Zm00001d025944	GO:0045165
Zm00001d025944	GO:0010158
Zm00001d025944	GO:0005634
Zm00001d009461	GO:0005634
Zm00001d025080	GO:0006511
Zm00001d025080	GO:0061630
Zm00001d025080	GO:0000306
Zm00001d028668	GO:0005634
Zm00001d005951	GO:0043565
Zm00001d005951	GO:0005634
Zm00001d005951	GO:0045893
Zm00001d047581	GO:0003735
Zm00001d047581	GO:0006412
Zm00001d047581	GO:0003729
Zm00001d047581	GO:0009570
Zm00001d038823	GO:0046658
Zm00001d007712	GO:0005874
Zm00001d007712	GO:0003777
Zm00001d007712	GO:0008017
Zm00001d007712	GO:0007018
Zm00001d007712	GO:0016887
Zm00001d007712	GO:0005871
Zm00001d002261	GO:0008891
Zm00001d002261	GO:0010181
Zm00001d002261	GO:0005777
Zm00001d045148	GO:0009060
Zm00001d045148	GO:0005739
Zm00001d045148	GO:0022904
Zm00001d042368	GO:0000398
Zm00001d042368	GO:0035614
Zm00001d034038	GO:0005634
Zm00001d037054	GO:0005634
Zm00001d037054	GO:0003700
Zm00001d037054	GO:0043565
Zm00001d037054	GO:0044212
Zm00001d029152	GO:0045128
Zm00001d029152	GO:0032302
Zm00001d029152	GO:0006311
Zm00001d029152	GO:0000406
Zm00001d029152	GO:0000404
Zm00001d029152	GO:0000403
Zm00001d029152	GO:0000710
Zm00001d029152	GO:0000400
Zm00001d029152	GO:0043570
Zm00001d029152	GO:0043111
Zm00001d029152	GO:0032301
Zm00001d029152	GO:0005524
Zm00001d029152	GO:0006298
Zm00001d029152	GO:0042803
Zm00001d029152	GO:0007050
Zm00001d029152	GO:0003684
Zm00001d029152	GO:0000228
Zm00001d029152	GO:0032300
Zm00001d029152	GO:0008094
Zm00001d029152	GO:0019901
Zm00001d029152	GO:0036297
Zm00001d029152	GO:0006290
Zm00001d029152	GO:0006301
Zm00001d029152	GO:0006312
Zm00001d029152	GO:0051096
Zm00001d029152	GO:0005634
Zm00001d029152	GO:0032137
Zm00001d029152	GO:0032143
Zm00001d029152	GO:0000287
Zm00001d029152	GO:0003697
Zm00001d029152	GO:0032357
Zm00001d029152	GO:0043531
Zm00001d029152	GO:0045910
Zm00001d029152	GO:0032405
Zm00001d029152	GO:0032142
Zm00001d029152	GO:0032181
Zm00001d023292	GO:0051083
Zm00001d023292	GO:0043335
Zm00001d023292	GO:0043022
Zm00001d023292	GO:0003755
Zm00001d023292	GO:0061077
Zm00001d023292	GO:0044183
Zm00001d017766	GO:0009507
Zm00001d017766	GO:0045549
Zm00001d017766	GO:0016121
Zm00001d017766	GO:0010436
Zm00001d017766	GO:0009570
Zm00001d000237	GO:0050502
Zm00001d000237	GO:0006486
Zm00001d000237	GO:0080036
Zm00001d000237	GO:0009690
Zm00001d000237	GO:0010817
Zm00001d000237	GO:0043231
Zm00001d000237	GO:0008194
Zm00001d034747	GO:0004857
Zm00001d034747	GO:0043086
Zm00001d012160	GO:0005762
Zm00001d012160	GO:0003735
Zm00001d012160	GO:0005840
Zm00001d012160	GO:0017148
Zm00001d012160	GO:0003729
Zm00001d047707	GO:0006364
Zm00001d047707	GO:0042274
Zm00001d047707	GO:0032040
Zm00001d047707	GO:0022627
Zm00001d006455	GO:0005730
Zm00001d006455	GO:0042273
Zm00001d006455	GO:0030687
Zm00001d007961	GO:0005774
Zm00001d034998	GO:0006511
Zm00001d034998	GO:0061630
Zm00001d034998	GO:0000306
Zm00001d046645	GO:0004534
Zm00001d046645	GO:0035312
Zm00001d023565	GO:0005634
Zm00001d023565	GO:0003700
Zm00001d023565	GO:0043565
Zm00001d029373	GO:0051603
Zm00001d029373	GO:0004185
Zm00001d029373	GO:0005773
Zm00001d044144	GO:0004721
Zm00001d030158	GO:0016021
Zm00001d030158	GO:1904680
Zm00001d030158	GO:0035673
Zm00001d030158	GO:0015333
Zm00001d049615	GO:0043161
Zm00001d049615	GO:0061630
Zm00001d049615	GO:0000209
Zm00001d047283	GO:0042147
Zm00001d047283	GO:0019905
Zm00001d047283	GO:0006896
Zm00001d047283	GO:0032456
Zm00001d047283	GO:0017137
Zm00001d047283	GO:0000938
Zm00001d047037	GO:0005634
Zm00001d047037	GO:0005737
Zm00001d047037	GO:0004864
Zm00001d047037	GO:0009738
Zm00001d047037	GO:0080163
Zm00001d047037	GO:0038023
Zm00001d047037	GO:0010427
Zm00001d031996	GO:0016567
Zm00001d042194	GO:0017137
Zm00001d026218	GO:0005634
Zm00001d026218	GO:0003700
Zm00001d026218	GO:0043565
Zm00001d026218	GO:0044212
Zm00001d040672	GO:0003723
Zm00001d040672	GO:0045292
Zm00001d040672	GO:0000381
Zm00001d040672	GO:0005634
Zm00001d040672	GO:0016607
Zm00001d036823	GO:0004650
Zm00001d036823	GO:0009505
Zm00001d025615	GO:0005634
Zm00001d025615	GO:0006468
Zm00001d019248	GO:0046658
Zm00001d023892	GO:0004764
Zm00001d023892	GO:0019632
Zm00001d023892	GO:0009423
Zm00001d043601	GO:0006108
Zm00001d043601	GO:0009507
Zm00001d043601	GO:0006090
Zm00001d043601	GO:0004470
Zm00001d043601	GO:0004473
Zm00001d008985	GO:0016020
Zm00001d008985	GO:0016709
Zm00001d013612	GO:0005525
Zm00001d013612	GO:0007017
Zm00001d013612	GO:0005874
Zm00001d013612	GO:0005737
Zm00001d013612	GO:0005200
Zm00001d013612	GO:0000226
Zm00001d013612	GO:0000278
Zm00001d036866	GO:0005737
Zm00001d036866	GO:0004512
Zm00001d036866	GO:0006021
Zm00001d046156	GO:0006511
Zm00001d046156	GO:0061630
Zm00001d021033	GO:0016075
Zm00001d021033	GO:0000176
Zm00001d021033	GO:0034427
Zm00001d021033	GO:0017091
Zm00001d021033	GO:0000467
Zm00001d021033	GO:0000177
Zm00001d021033	GO:0071042
Zm00001d021033	GO:0071038
Zm00001d021033	GO:0071035
Zm00001d021033	GO:0071028
Zm00001d021033	GO:0043928
Zm00001d021033	GO:0034476
Zm00001d021033	GO:0034475
Zm00001d021033	GO:0034473
Zm00001d015248	GO:0003729
Zm00001d015248	GO:0071013
Zm00001d015248	GO:0000245
Zm00001d015248	GO:0005686
Zm00001d015248	GO:0071004
Zm00001d015248	GO:0005689
Zm00001d015729	GO:0005737
Zm00001d015729	GO:0005829
Zm00001d015729	GO:0051082
Zm00001d015729	GO:0003755
Zm00001d015729	GO:0042026
Zm00001d015729	GO:0016018
Zm00001d008525	GO:0000032
Zm00001d008525	GO:0006486
Zm00001d008525	GO:0009298
Zm00001d008525	GO:0004476
Zm00001d044529	GO:0016021
Zm00001d044529	GO:1904680
Zm00001d044529	GO:0035673
Zm00001d044529	GO:0015333
Zm00001d011847	GO:0006357
Zm00001d011847	GO:0008134
Zm00001d011847	GO:0000977
Zm00001d011847	GO:0090575
Zm00001d011847	GO:0003700
Zm00001d003354	GO:0055085
Zm00001d003354	GO:0042626
Zm00001d003354	GO:0005886
Zm00001d053397	GO:0034247
Zm00001d053397	GO:0005684
Zm00001d053559	GO:0005634
Zm00001d053559	GO:0004652
Zm00001d053559	GO:0006378
Zm00001d018619	GO:0004601
Zm00001d018619	GO:0009505
Zm00001d018619	GO:0009506
Zm00001d039680	GO:0005739
Zm00001d004416	GO:0005634
Zm00001d004416	GO:0003968
Zm00001d004416	GO:0070919
Zm00001d004416	GO:0031380
Zm00001d004416	GO:0030422
Zm00001d044425	GO:0005783
Zm00001d006446	GO:0043231
Zm00001d006446	GO:0080044
Zm00001d006446	GO:0080043
Zm00001d006446	GO:0008194
Zm00001d033320	GO:0043231
Zm00001d033320	GO:0080044
Zm00001d033320	GO:0080043
Zm00001d033320	GO:0008194
Zm00001d044222	GO:0005737
Zm00001d044222	GO:0017196
Zm00001d044222	GO:0004596
Zm00001d000195	GO:0042910
Zm00001d000195	GO:0006855
Zm00001d003208	GO:0016021
Zm00001d003208	GO:1904680
Zm00001d003208	GO:0035673
Zm00001d003208	GO:0015333
Zm00001d039589	GO:0005634
Zm00001d039589	GO:0042752
Zm00001d039589	GO:0048586
Zm00001d042091	GO:0006378
Zm00001d042091	GO:0005847
Zm00001d021719	GO:0006511
Zm00001d029714	GO:0016491
Zm00001d029163	GO:0005509
Zm00001d024509	GO:0043625
Zm00001d024509	GO:0006261
Zm00001d024509	GO:0003887
Zm00001d001909	GO:0009579
Zm00001d001909	GO:0016117
Zm00001d054104	GO:0005874
Zm00001d054104	GO:0003777
Zm00001d054104	GO:0008017
Zm00001d054104	GO:0007018
Zm00001d054104	GO:0016887
Zm00001d054104	GO:0005871
Zm00001d044780	GO:0003887
Zm00001d044780	GO:0005634
Zm00001d044780	GO:0006303
Zm00001d031986	GO:0016020
Zm00001d031986	GO:0072657
Zm00001d043710	GO:0005618
Zm00001d002823	GO:0051879
Zm00001d009978	GO:0043653
Zm00001d009978	GO:0006915
Zm00001d009978	GO:0005741
Zm00001d009978	GO:0005779
Zm00001d009978	GO:0000266
Zm00001d009978	GO:0031307
Zm00001d009978	GO:0000422
Zm00001d009978	GO:0005739
Zm00001d009978	GO:0005777
Zm00001d009978	GO:0016559
Zm00001d038076	GO:0010306
Zm00001d038076	GO:0016757
Zm00001d038076	GO:0005794
Zm00001d038076	GO:0035252
Zm00001d039578	GO:0004821
Zm00001d039578	GO:0006427
Zm00001d049154	GO:0009507
Zm00001d049154	GO:0008970
Zm00001d049154	GO:0004620
Zm00001d047803	GO:0005634
Zm00001d047803	GO:0005737
