#DB_SIZE=1403462
#MAX_CLASS_SIZE=50657
#GO	IC
0044451	4.72358512071963
0016758	4.74833329040882
0006790	4.7528995083884
0006979	4.7528995083884
0008194	4.75978816938359
0005694	4.76672461338025
0009890	4.78074353455958
0032989	4.78782738944798
0010646	4.79735127095924
2000241	4.79974648168519
0031327	4.80214744322273
0042254	4.80455418325329
0023051	4.80696672965868
0009555	4.80696672965868
0016746	4.81423948898776
0005976	4.81911754744119
0140098	4.81911754744119
0030234	4.82156552907983
0009966	4.82894563637745
0048366	4.83389614153731
0035556	4.83389614153731
0005740	4.83389614153731
0040007	4.83638061486497
0017144	4.83887127617742
0009415	4.84387128659413
0046914	4.8488964227968
1901615	4.85394693858287
0015672	4.85648179418606
1901605	4.85902309161473
0044459	4.86157086369353
0010558	4.86157086369353
0033365	4.8666859643603
0008509	4.86925335986555
0009414	4.87182736386072
0019866	4.87440801045421
0016569	4.87699533401916
0071229	4.87958936919621
0014070	4.88219015089627
0031966	4.88479771430335
0098791	4.88741209487742
0031399	4.89003332835729
0042802	4.89003332835729
0051726	4.89529649840157
0016570	4.89529649840157
0043043	4.90058751603598
0050801	4.9032435600941
0006357	4.90590667751358
0043414	4.90857690606946
0007010	4.90857690606946
0009657	4.91393884921085
0005777	4.91663064087656
0042579	4.91663064087656
0045934	4.92474976531506
0006412	4.92747085542942
0016705	4.9329353499015
0005802	4.93567883584725
0044427	4.93567883584725
0006955	4.93842986921914
0003690	4.94118849165822
0000902	4.94118849165822
0044432	4.94395474515111
0016747	4.94951031499571
0043900	4.94951031499571
0009620	4.95790197263196
0016829	4.96071491400858
0048589	4.96353579035022
2000113	4.97204648001813
0045087	4.97204648001813
0010608	4.97489954900053
0031347	4.97489954900053
0016798	4.97776078128157
0006753	4.97776078128157
0090558	4.98063022370952
0046686	4.98350792353713
0090305	4.98639392842627
1901137	4.98639392842627
0019748	4.99219104611059
0048468	4.99510225631805
0016049	4.99802196642139
0000166	4.99802196642139
1901265	4.99802196642139
1901698	5.00683259610354
0019220	5.00683259610354
0051174	5.00683259610354
0046677	5.01274977313163
0009117	5.01572154352079
0098771	5.01572154352079
0048584	5.02169171050729
0009408	5.02469021350355
0051253	5.03071432810693
0044264	5.03071432810693
0090407	5.03677495271862
0015849	5.03677495271862
0046942	5.03677495271862
0006470	5.03981909509985
0009991	5.04287253258674
0072594	5.04900752115426
1901361	5.05518038026134
1903507	5.05828115793958
1902679	5.05828115793958
0031226	5.06139158035398
0055080	5.06451170769022
0042175	5.06764160069915
0022853	5.07078132070382
0032774	5.07078132070382
0016741	5.07078132070382
0048437	5.07393092960671
0008380	5.07709048989708
0005789	5.08026006465836
0016614	5.08662951294384
0060089	5.08662951294384
0044270	5.09303979130476
0010498	5.09949142658625
0019439	5.10924760153161
0016051	5.10924760153161
0048831	5.11580500207777
0061024	5.11580500207777
0060560	5.11909989797462
0005743	5.11909989797462
0007017	5.11909989797462
0042546	5.12905022882779
0048285	5.12905022882779
0046700	5.12905022882779
0006397	5.13238913009331
