#GO	IC
0000910	6.096634
0000911	6.643178
0000912	10.139686
0000913	8.886923
0000914	10.139686
0000915	10.139686
0000916	10.139686
0000917	4.109000
0000918	10.139686
0000919	8.193775
0000920	0.922022
0000921	4.686503
0000922	9.041073
0000923	8.886923
0000924	8.886923
0000925	8.886923
0000926	8.886923
0000927	10.139686
0000928	10.139686
0000929	8.886923
0000930	7.741790
0000931	8.886923
0000932	6.426113
0000933	0.307989
0000934	0.307989
0000935	8.886923
0000936	8.886923
0000937	0.307989
0000938	8.530248
0000939	10.832833
0000940	9.734220
0000941	10.832833
0000942	9.734220
0000943	3.185047
0000944	6.584337
0000945	7.465537
0000946	8.267883
0000947	6.705698
0000948	4.528384
0000949	6.705698
0000950	6.705698
0000951	6.705698
0000952	4.528384
0000953	4.528384
0000954	4.528384
0000955	6.489027
0000956	6.258122
0000957	9.223395
0000958	10.139686
0000959	6.463385
0000960	10.832833
0000961	10.832833
0000962	10.832833
0000963	7.500628
0000964	10.832833
0000965	9.223395
0000966	7.837100
0000967	9.041073
0000968	3.199463
0000969	3.199463
0000970	3.199463
0000971	3.199463
0000972	8.886923
0000973	9.223395
0000974	8.124783
0000975	4.249423
0000976	5.377512
0000977	5.628826
0000978	7.143953
0000979	8.886923
0000980	10.832833
0000981	6.738488
0000982	6.738488
0000983	8.434937
0000984	5.377512
0000985	5.377512
0000986	5.377512
0000987	7.004191
0000992	7.999619
0000993	7.654779
0000994	10.832833
0000995	8.753391
0000996	8.886923
0000997	4.249423
0000998	4.330043
0000999	8.753391
0001000	7.500628
0001001	7.431635
0001002	9.041073
0001003	9.041073
0001004	10.139686
0001005	10.139686
0001006	9.223395
0001008	10.139686
0001009	6.628140
0001010	8.886923
0001012	5.623347
0001013	10.139686
0001014	6.628140
0001015	6.311044
0001016	7.837100
0001017	4.249423
0001018	4.249423
0001019	4.249423
0001020	8.753391
0001021	8.753391
0001022	8.124783
0001023	8.124783
0001024	8.124783
0001025	10.832833
0001030	8.886923
0001031	8.886923
0001032	9.041073
0001033	10.139686
0001034	8.753391
0001035	6.628140
0001036	8.124783
0001037	7.837100
0001038	10.139686
0001039	7.999619
0001041	6.628140
0001042	9.734220
0001043	8.753391
0001044	4.249423
0001045	4.249423
0001046	8.530248
0001047	8.434937
0001048	7.500628
0001049	7.500628
0001050	7.431635
0001051	7.431635
0001052	7.500628
0001053	8.886923
0001054	7.741790
0001055	7.788310
0001056	7.398845
0001057	6.028812
0001058	6.028812
0001059	5.268312
0001060	5.268312
0001061	6.028812
0001062	6.028812
0001063	6.028812
0001064	6.028812
0001065	6.028812
0001066	6.028812
0001067	4.249423
0001068	4.249423
0001069	4.249423
0001070	4.162066
0001071	4.330043
0001072	4.162066
0001073	4.162066
0001075	8.434937
0001077	7.048643
0001078	9.734220
0001079	4.905907
0001080	4.905907
0001081	4.905907
0001085	9.446538
0001091	9.041073
0001092	9.041073
0001093	10.832833
0001094	9.041073
0001095	9.041073
0001096	9.041073
0001097	9.223395
0001098	7.431635
0001099	7.431635
0001100	7.431635
0001101	3.346780
0001102	9.223395
0001103	8.886923
0001104	6.227663
0001105	7.306472
0001106	7.169271
0001107	8.635608
0001108	7.431635
0001109	5.070781
0001110	5.070781
0001111	5.070781
0001112	9.734220
0001113	9.734220
0001114	2.550856
0001115	4.376063
0001116	4.376063
0001117	4.376063
0001118	4.376063
0001119	4.376063
0001120	9.734220
0001121	5.268312
0001122	5.070781
0001123	6.476124
0001124	8.193775
0001125	8.635608
0001126	7.536996
0001127	9.734220
0001130	4.330043
0001131	4.330043
0001133	6.738488
0001134	9.446538
0001135	10.139686
0001136	10.139686
0001137	10.139686
0001138	10.139686
0001139	9.223395
0001140	6.961632
0001141	9.734220
0001142	4.330043
0001143	4.330043
0001144	4.330043
0001145	5.377512
0001146	5.377512
0001147	5.377512
0001148	5.377512
0001150	5.377512
0001151	4.330043
0001154	10.832833
0001155	10.832833
0001156	10.832833
0001157	10.139686
0001158	9.446538
0001159	7.004191
0001160	4.249423
0001161	4.249423
0001162	5.628826
0001163	10.139686
0001164	10.139686
0001165	7.004191
0001166	9.446538
0001171	7.837100
0001172	8.886923
0001173	8.753391
0001174	9.223395
0001175	8.753391
0001176	8.753391
0001177	4.714736
0001178	8.193775
0001179	7.741790
0001180	9.041073
0001181	9.734220
0001182	5.070781
0001183	10.832833
0001184	5.070781
0001185	10.832833
0001186	9.446538
0001187	10.139686
0001188	9.734220
0001189	9.734220
0001192	10.139686
0001193	10.139686
0001194	10.139686
0001195	10.139686
0001196	4.905907
0001197	4.905907
0001198	4.905907
0001199	4.330043
0001200	6.738488
0001201	6.738488
0001202	6.738488
0001203	6.738488
0001204	4.330043
0001205	7.048643
0001206	9.734220
0001207	6.825500
0001208	6.825500
0001209	7.048643
0001210	9.734220
0001211	7.048643
0001212	7.048643
0001213	7.048643
0001214	9.734220
0001215	6.961632
0001216	6.961632
0001217	9.734220
0001218	9.734220
0001219	9.734220
0001220	9.734220
0001221	5.480975
0001222	5.480975
0001223	5.480975
0001224	5.480975
0001225	5.480975
0001226	5.480975
0001227	9.734220
0001228	7.048643
0001300	10.832833
0001301	4.492473
0001302	10.832833
0001303	10.832833
0001304	4.492473
0001305	4.492473
0001306	4.752900
0001307	4.492473
0001308	4.492473
0001310	4.492473
0001311	4.492473
0001312	4.492473
0001313	10.832833
0001314	4.492473
0001315	5.617897
0001316	4.752900
0001317	4.752900
0001318	2.544047
0001319	4.099431
0001320	4.752900
0001321	10.832833
0001322	4.752900
0001323	10.832833
0001324	4.752900
0001325	10.832833
0001326	5.685338
0001400	7.613957
0001401	8.753391
0001402	3.577241
0001403	9.734220
0001405	9.223395
0001406	5.323444
0001407	4.579004
0001408	10.139686
0001409	10.832833
0001410	4.995102
0001411	8.060244
0001501	3.005592
0001502	0.000000
0001503	2.474870
0001504	9.734220
0001505	7.004191
0001507	8.753391
0001508	8.886923
0001510	5.965298
0001512	3.434659
0001513	10.139686
0001514	7.143953
0001515	7.574736
0001516	8.434937
0001517	7.574736
0001518	7.999619
0001519	4.692948
0001520	10.832833
0001521	5.732966
0001522	7.837100
0001523	6.941012
0001525	5.394753
0001527	5.580559
0001530	10.832833
0001531	5.732966
0001532	5.570143
0001533	2.426348
0001534	2.550856
0001535	2.550856
0001536	2.550856
0001537	7.574736
0001539	10.139686
0001540	6.237713
0001541	3.579362
0001542	3.160075
0001543	3.160075
0001544	3.579362
0001545	4.836381
0001546	4.836381
0001547	3.385081
0001548	3.385081
0001549	3.385081
0001550	4.836381
0001551	3.579362
0001552	3.385081
0001553	3.160075
0001554	3.160075
0001555	3.385081
0001556	3.385081
0001558	6.188442
0001559	10.832833
0001560	10.139686
0001561	10.139686
0001562	3.464493
0001563	3.464493
0001565	5.287655
0001566	5.287655
0001567	9.734220
0001568	2.412371
0001569	5.394753
0001570	4.189043
0001571	5.570143
0001572	10.139686
0001573	7.942461
0001574	7.942461
0001575	10.139686
0001576	10.139686
0001578	8.886923
0001579	8.753391
0001580	7.837100
0001581	7.837100
0001582	7.837100
0001583	7.837100
0001585	9.734220
0001586	9.734220
0001587	9.734220
0001588	10.832833
0001589	10.832833
0001590	10.832833
0001591	10.832833
0001592	10.832833
0001593	10.832833
0001594	9.734220
0001595	8.635608
0001596	8.635608
0001599	8.635608
0001600	8.635608
0001601	8.635608
0001602	8.635608
0001604	8.635608
0001605	8.635608
0001607	8.635608
0001608	9.734220
0001609	9.734220
0001610	9.734220
0001611	9.734220
0001612	9.734220
0001613	9.734220
0001614	5.570143
0001616	9.734220
0001618	0.797396
0001621	9.734220
0001622	9.734220
0001623	9.734220
0001624	9.734220
0001625	9.734220
0001626	8.635608
0001631	9.734220
0001632	9.734220
0001634	9.734220
0001635	8.635608
0001637	8.635608
0001639	9.734220
0001640	9.734220
0001641	9.734220
0001642	9.734220
0001644	5.570143
0001646	5.570143
0001647	9.734220
0001648	8.635608
0001649	4.189043
0001650	10.832833
0001651	6.689698
0001652	6.689698
0001653	8.635608
0001654	2.412371
0001655	3.005592
0001656	2.412371
0001657	2.412371
0001658	5.394753
0001659	8.434937
0001660	8.434937
0001661	0.000000
0001662	3.694760
0001663	2.325488
0001664	9.446538
0001665	10.832833
0001666	6.528768
0001667	10.832833
0001668	7.536996
0001669	5.757659
0001670	10.832833
0001671	9.446538
0001672	9.446538
0001673	9.734220
0001674	9.223395
0001675	3.385081
0001676	7.500628
0001677	5.607086
0001678	7.613957
0001679	9.734220
0001680	10.832833
0001681	10.832833
0001682	8.753391
0001691	10.832833
0001692	6.268485
0001693	6.268485
0001694	6.268485
0001695	6.268485
0001696	10.832833
0001697	10.832833
0001698	10.832833
0001699	10.832833
0001700	4.630297
0001701	2.412371
0001702	9.734220
0001703	9.734220
0001704	9.734220
0001705	9.734220
0001706	9.734220
0001707	9.734220
0001708	7.221915
0001709	8.193775
0001710	6.515345
0001711	9.734220
0001712	9.734220
0001713	8.193775
0001714	7.221915
0001715	7.221915
0001716	7.942461
0001717	9.734220
0001718	10.832833
0001719	9.734220
0001720	9.734220
0001725	10.139686
0001726	10.139686
0001727	9.446538
0001728	9.734220
0001729	10.832833
0001730	7.336325
0001731	8.434937
0001732	9.041073
0001733	7.574736
0001734	10.139686
0001735	10.139686
0001736	9.734220
0001737	9.734220
0001738	9.734220
0001739	8.347926
0001740	5.471541
0001741	4.766725
0001742	4.189043
0001743	7.143953
0001744	5.394753
0001745	2.412371
0001746	2.412371
0001747	2.412371
0001748	2.412371
0001749	2.787565
0001750	10.832833
0001751	2.412371
0001752	2.412371
0001754	2.412371
0001755	10.832833
0001756	5.394753
0001757	7.398845
0001758	6.721959
0001759	10.832833
0001760	6.570153
0001761	8.347926
0001762	7.654779
0001763	7.367097
0001764	10.832833
0001765	5.115805
0001766	5.115805
0001767	8.635608
0001768	8.635608
0001769	8.635608
0001770	8.635608
0001771	10.139686
0001772	4.861571
0001773	4.686503
0001774	4.686503
0001775	0.922022
0001776	4.686503
0001777	8.635608
0001778	9.446538
0001779	8.635608
0001780	4.686503
0001781	4.686503
0001782	4.686503
0001783	4.686503
0001784	9.734220
0001785	9.734220
0001786	10.139686
0001787	8.635608
0001788	0.000000
0001789	8.267883
0001790	5.549629
0001791	5.549629
0001792	5.570143
0001793	5.570143
0001794	0.000000
0001795	0.000000
0001796	8.434937
0001797	8.434937
0001798	8.434937
0001799	8.434937
0001800	8.434937
0001801	8.434937
0001802	6.476124
0001803	8.434937
0001804	8.434937
0001805	8.434937
0001806	6.476124
0001807	8.434937
0001808	8.434937
0001809	8.434937
0001810	8.434937
0001811	8.434937
0001812	8.434937
0001813	8.434937
0001814	8.434937
0001815	8.434937
0001816	2.474870
0001817	4.154491
0001818	4.154491
0001819	4.154491
0001820	6.941012
0001821	6.862541
0001822	2.412371
0001823	2.412371
0001824	2.412371
0001825	5.394753
0001826	4.189043
0001827	6.515345
0001828	5.364773
0001829	4.189043
0001830	6.515345
0001831	5.364773
0001832	4.963536
0001833	8.886923
0001834	8.886923
0001835	2.412371
0001836	10.139686
0001837	4.189043
0001838	9.734220
0001839	9.734220
0001840	8.193775
0001841	9.734220
0001842	5.394753
0001843	9.734220
0001844	7.654779
0001845	10.832833
0001846	1.050271
0001847	5.570143
0001848	1.050271
0001849	1.050271
0001850	1.050271
0001851	1.050271
0001852	1.050271
0001853	1.050271
0001854	1.050271
0001855	1.050271
0001856	1.050271
0001857	5.570143
0001858	5.570143
0001859	5.570143
0001860	5.570143
0001861	5.570143
0001862	1.050271
0001863	5.570143
0001864	1.050271
0001865	8.635608
0001866	8.635608
0001867	4.972046
0001868	5.877006
0001869	5.877006
0001870	5.877006
0001872	10.139686
0001873	10.832833
0001874	10.832833
0001875	10.832833
0001876	6.528768
0001877	10.832833
0001878	4.957902
0001879	4.957902
0001880	3.385081
0001881	10.832833
0001882	6.344196
0001883	6.344196
0001884	6.344196
0001885	4.995102
0001886	4.995102
0001887	9.446538
0001888	8.886923
0001889	3.005592
0001890	3.579362
0001891	4.861571
0001892	3.385081
0001893	3.385081
0001894	9.446538
0001895	9.446538
0001896	6.450806
0001897	7.999619
0001898	9.223395
0001899	9.223395
0001900	9.223395
0001901	0.922022
0001902	2.044087
